,symbol,metric,value
0,MMM,Previous Close,95.34
1,MMM,Open,95.02
2,MMM,Bid,95.04 x 1100
3,MMM,Ask,95.03 x 800
4,MMM,Day's Range,94.47 - 95.25
5,MMM,52 Week Range,85.35 - 130.02
6,MMM,Volume,"843,696"
7,MMM,Avg. Volume,"3,669,931"
8,MMM,Market Cap,52.586B
9,MMM,Beta (5Y Monthly),0.98
10,MMM,PE Ratio (TTM),N/A
11,MMM,EPS (TTM),-13.31
12,MMM,Earnings Date,"Jan 22, 2024 - Jan 26, 2024"
13,MMM,Forward Dividend & Yield,6.00 (6.29%)
14,MMM,Ex-Dividend Date,"Nov 16, 2023"
15,MMM,1y Target Est,N/A
16,AOS,Previous Close,76.38
17,AOS,Open,76.03
18,AOS,Bid,74.71 x 800
19,AOS,Ask,76.12 x 800
20,AOS,Day's Range,75.07 - 76.26
21,AOS,52 Week Range,55.41 - 76.98
22,AOS,Volume,"894,181"
23,AOS,Avg. Volume,"995,018"
24,AOS,Market Cap,11.319B
25,AOS,Beta (5Y Monthly),1.25
26,AOS,PE Ratio (TTM),37.87
27,AOS,EPS (TTM),2.01
28,AOS,Earnings Date,"Jan 25, 2024 - Jan 30, 2024"
29,AOS,Forward Dividend & Yield,1.28 (1.68%)
30,AOS,Ex-Dividend Date,"Oct 30, 2023"
31,AOS,1y Target Est,76.56
32,ABT,Previous Close,99.55
33,ABT,Open,98.95
34,ABT,Bid,0.00 x 900
35,ABT,Ask,0.00 x 1100
36,ABT,Day's Range,98.95 - 101.31
37,ABT,52 Week Range,89.67 - 115.83
38,ABT,Volume,"6,826,264"
39,ABT,Avg. Volume,"5,545,565"
40,ABT,Market Cap,175.689B
41,ABT,Beta (5Y Monthly),0.68
42,ABT,PE Ratio (TTM),34.42
43,ABT,EPS (TTM),2.94
44,ABT,Earnings Date,"Jan 23, 2024 - Jan 29, 2024"
45,ABT,Forward Dividend & Yield,2.04 (2.02%)
46,ABT,Ex-Dividend Date,"Oct 12, 2023"
47,ABT,1y Target Est,116.10
48,ABBV,Previous Close,138.30
49,ABBV,Open,137.53
50,ABBV,Bid,138.53 x 900
51,ABBV,Ask,138.56 x 1000
52,ABBV,Day's Range,137.14 - 138.69
53,ABBV,52 Week Range,130.96 - 168.11
54,ABBV,Volume,"4,053,146"
55,ABBV,Avg. Volume,"4,728,634"
56,ABBV,Market Cap,244.192B
57,ABBV,Beta (5Y Monthly),0.48
58,ABBV,PE Ratio (TTM),37.89
59,ABBV,EPS (TTM),3.65
60,ABBV,Earnings Date,"Feb 07, 2024 - Feb 12, 2024"
61,ABBV,Forward Dividend & Yield,6.20 (4.48%)
62,ABBV,Ex-Dividend Date,"Jan 12, 2024"
63,ABBV,1y Target Est,155.45
64,ACN,Previous Close,327.83
65,ACN,Open,326.46
66,ACN,Bid,0.00 x 900
67,ACN,Ask,0.00 x 1000
68,ACN,Day's Range,326.22 - 332.05
69,ACN,52 Week Range,242.80 - 332.05
70,ACN,Volume,"1,349,618"
71,ACN,Avg. Volume,"1,908,414"
72,ACN,Market Cap,207.845B
73,ACN,Beta (5Y Monthly),1.22
74,ACN,PE Ratio (TTM),30.78
75,ACN,EPS (TTM),10.75
76,ACN,Earnings Date,"Dec 19, 2023"
77,ACN,Forward Dividend & Yield,5.16 (1.56%)
78,ACN,Ex-Dividend Date,"Oct 11, 2023"
79,ACN,1y Target Est,339.33
80,ADBE,Previous Close,602.66
81,ADBE,Open,605.31
82,ADBE,Bid,611.11 x 800
83,ADBE,Ask,613.21 x 900
84,ADBE,Day's Range,604.50 - 614.20
85,ADBE,52 Week Range,318.60 - 614.20
86,ADBE,Volume,"2,392,628"
87,ADBE,Avg. Volume,"2,737,146"
88,ADBE,Market Cap,278.962B
89,ADBE,Beta (5Y Monthly),1.32
90,ADBE,PE Ratio (TTM),54.03
91,ADBE,EPS (TTM),11.34
92,ADBE,Earnings Date,"Dec 13, 2023"
93,ADBE,Forward Dividend & Yield,N/A (N/A)
94,ADBE,Ex-Dividend Date,"Mar 24, 2005"
95,ADBE,1y Target Est,564.69
96,AMD,Previous Close,128.37
97,AMD,Open,129.54
98,AMD,Bid,128.98 x 900
99,AMD,Ask,129.00 x 1200
100,AMD,Day's Range,126.89 - 131.00
101,AMD,52 Week Range,60.05 - 132.83
102,AMD,Volume,"89,127,168"
103,AMD,Avg. Volume,"53,781,865"
104,AMD,Market Cap,208.27B
105,AMD,Beta (5Y Monthly),1.67
106,AMD,PE Ratio (TTM),"1,074.33"
107,AMD,EPS (TTM),0.12
108,AMD,Earnings Date,"Jan 29, 2024 - Feb 02, 2024"
109,AMD,Forward Dividend & Yield,N/A (N/A)
110,AMD,Ex-Dividend Date,"Apr 27, 1995"
111,AMD,1y Target Est,131.10
112,AES,Previous Close,17.21
113,AES,Open,17.12
114,AES,Bid,16.97 x 800
115,AES,Ask,16.98 x 900
116,AES,Day's Range,16.87 - 17.19
117,AES,52 Week Range,11.43 - 29.89
118,AES,Volume,"310,815"
119,AES,Avg. Volume,"8,568,012"
120,AES,Market Cap,11.337B
121,AES,Beta (5Y Monthly),1.05
122,AES,PE Ratio (TTM),N/A
123,AES,EPS (TTM),-0.84
124,AES,Earnings Date,"Nov 03, 2023"
125,AES,Forward Dividend & Yield,0.66 (3.86%)
126,AES,Ex-Dividend Date,"Oct 31, 2023"
127,AES,1y Target Est,21.35
128,AFL,Previous Close,81.77
129,AFL,Open,81.23
130,AFL,Bid,80.44 x 900
131,AFL,Ask,81.40 x 800
132,AFL,Day's Range,80.80 - 81.62
133,AFL,52 Week Range,60.20 - 82.72
134,AFL,Volume,"2,255,704"
135,AFL,Avg. Volume,"2,356,340"
136,AFL,Market Cap,47.434B
137,AFL,Beta (5Y Monthly),0.89
138,AFL,PE Ratio (TTM),11.12
139,AFL,EPS (TTM),7.30
140,AFL,Earnings Date,"Jan 30, 2024 - Feb 05, 2024"
141,AFL,Forward Dividend & Yield,2.00 (2.46%)
142,AFL,Ex-Dividend Date,"Feb 20, 2024"
143,AFL,1y Target Est,79.54
144,A,Previous Close,113.98
145,A,Open,121.46
146,A,Bid,123.51 x 800
147,A,Ask,123.37 x 1100
148,A,Day's Range,121.23 - 124.68
149,A,52 Week Range,96.80 - 160.26
150,A,Volume,"1,712,205"
151,A,Avg. Volume,"1,969,379"
152,A,Market Cap,36.164B
153,A,Beta (5Y Monthly),N/A
154,A,PE Ratio (TTM),32.36
155,A,EPS (TTM),3.82
156,A,Earnings Date,"Nov 20, 2023"
157,A,Forward Dividend & Yield,0.94 (0.83%)
158,A,Ex-Dividend Date,"Dec 29, 2023"
159,A,1y Target Est,132.75
160,APD,Previous Close,272.15
161,APD,Open,273.50
162,APD,Bid,273.99 x 800
163,APD,Ask,274.30 x 900
164,APD,Day's Range,273.02 - 275.05
165,APD,52 Week Range,251.63 - 328.56
166,APD,Volume,"177,982"
167,APD,Avg. Volume,"909,987"
168,APD,Market Cap,60.951B
169,APD,Beta (5Y Monthly),0.87
170,APD,PE Ratio (TTM),26.66
171,APD,EPS (TTM),10.29
172,APD,Earnings Date,"Jan 31, 2024 - Feb 05, 2024"
173,APD,Forward Dividend & Yield,7.00 (2.57%)
174,APD,Ex-Dividend Date,"Dec 29, 2023"
175,APD,1y Target Est,309.71
176,ABNB,Previous Close,127.15
177,ABNB,Open,127.40
178,ABNB,Bid,129.97 x 1300
179,ABNB,Ask,130.00 x 900
180,ABNB,Day's Range,127.01 - 130.49
181,ABNB,52 Week Range,81.91 - 154.95
182,ABNB,Volume,"2,466,661"
183,ABNB,Avg. Volume,"6,924,260"
184,ABNB,Market Cap,83.49B
185,ABNB,Beta (5Y Monthly),1.26
186,ABNB,PE Ratio (TTM),15.87
187,ABNB,EPS (TTM),8.21
188,ABNB,Earnings Date,"Feb 12, 2024 - Feb 16, 2024"
189,ABNB,Forward Dividend & Yield,N/A (N/A)
190,ABNB,Ex-Dividend Date,N/A
191,ABNB,1y Target Est,133.83
192,AKAM,Previous Close,112.47
193,AKAM,Open,112.56
194,AKAM,Bid,112.50 x 900
195,AKAM,Ask,112.72 x 1200
196,AKAM,Day's Range,112.42 - 112.97
197,AKAM,52 Week Range,70.65 - 112.97
198,AKAM,Volume,"50,668"
199,AKAM,Avg. Volume,"1,642,707"
200,AKAM,Market Cap,16.972B
201,AKAM,Beta (5Y Monthly),0.77
202,AKAM,PE Ratio (TTM),34.00
203,AKAM,EPS (TTM),3.31
204,AKAM,Earnings Date,"Feb 12, 2024 - Feb 16, 2024"
205,AKAM,Forward Dividend & Yield,N/A (N/A)
206,AKAM,Ex-Dividend Date,N/A
207,AKAM,1y Target Est,115.06
208,ALK,Previous Close,37.31
209,ALK,Open,36.99
210,ALK,Bid,36.77 x 1000
211,ALK,Ask,36.77 x 800
212,ALK,Day's Range,36.59 - 37.04
213,ALK,52 Week Range,30.75 - 57.18
214,ALK,Volume,"162,210"
215,ALK,Avg. Volume,"2,216,265"
216,ALK,Market Cap,4.694B
217,ALK,Beta (5Y Monthly),1.58
218,ALK,PE Ratio (TTM),18.24
219,ALK,EPS (TTM),2.01
220,ALK,Earnings Date,"Jan 24, 2024 - Jan 29, 2024"
221,ALK,Forward Dividend & Yield,N/A (N/A)
222,ALK,Ex-Dividend Date,"Feb 14, 2020"
223,ALK,1y Target Est,51.08
224,ALB,Previous Close,127.39
225,ALB,Open,127.57
226,ALB,Bid,130.00 x 800
227,ALB,Ask,130.63 x 800
228,ALB,Day's Range,126.25 - 131.51
229,ALB,52 Week Range,112.00 - 293.01
230,ALB,Volume,"2,911,358"
231,ALB,Avg. Volume,"2,511,874"
232,ALB,Market Cap,15.298B
233,ALB,Beta (5Y Monthly),1.67
234,ALB,PE Ratio (TTM),4.52
235,ALB,EPS (TTM),28.86
236,ALB,Earnings Date,"Feb 13, 2024 - Feb 19, 2024"
237,ALB,Forward Dividend & Yield,1.60 (1.26%)
238,ALB,Ex-Dividend Date,"Dec 14, 2023"
239,ALB,1y Target Est,202.96
240,ARE,Previous Close,104.48
241,ARE,Open,103.72
242,ARE,Bid,103.12 x 1100
243,ARE,Ask,103.53 x 800
244,ARE,Day's Range,102.93 - 104.63
245,ARE,52 Week Range,90.73 - 172.65
246,ARE,Volume,"56,416"
247,ARE,Avg. Volume,"1,154,364"
248,ARE,Market Cap,17.886B
249,ARE,Beta (5Y Monthly),1.01
250,ARE,PE Ratio (TTM),74.58
251,ARE,EPS (TTM),1.38
252,ARE,Earnings Date,"Jan 29, 2024 - Feb 02, 2024"
253,ARE,Forward Dividend & Yield,4.96 (4.75%)
254,ARE,Ex-Dividend Date,"Sep 28, 2023"
255,ARE,1y Target Est,134.18
256,ALGN,Previous Close,215.24
257,ALGN,Open,215.55
258,ALGN,Bid,214.05 x 800
259,ALGN,Ask,214.65 x 900
260,ALGN,Day's Range,213.08 - 215.76
261,ALGN,52 Week Range,176.34 - 413.20
262,ALGN,Volume,"175,067"
263,ALGN,Avg. Volume,"975,945"
264,ALGN,Market Cap,16.387B
265,ALGN,Beta (5Y Monthly),1.58
266,ALGN,PE Ratio (TTM),45.43
267,ALGN,EPS (TTM),4.71
268,ALGN,Earnings Date,"Jan 30, 2024 - Feb 05, 2024"
269,ALGN,Forward Dividend & Yield,N/A (N/A)
270,ALGN,Ex-Dividend Date,N/A
271,ALGN,1y Target Est,270.38
